state,pop2019,region,hdi,infant_mortality,cv_death,drug_death,motor_death,cancer_death,obesity,smoking,exercise,seatbelt,flu_vacc,child_vacc,under18,over65
Ohio,11689100,Midwest,Middle,6.9,191.7,29.9,9.6,175.1,31.5,22.5,49.5,85,46.6,68.3,22.8,15.5
Oklahoma,3956971,South,Bottom ten,8.2,234,19,16.4,184.3,32.8,19.6,43.9,86.3,47.2,75.4,24.6,14.5
Oregon,4217737,West,Middle,5.1,136.1,12,11.1,160.2,28.7,16.2,64.1,97.8,40,67.4,21.6,16
Pennsylvania,12801989,Northeast,Middle,5.9,177.8,26.3,9.4,167.2,30.3,18,47.8,83.6,53.3,72.8,21.1,16.7
Rhode Island,1059361,Northeast,Middle,4.4,160.4,28.2,4.3,163.1,26.6,14.4,49.1,87.4,55.4,77.2,20.2,15.7
South Carolina,5148714,South,Bottom ten,6.4,177.8,15.7,20,166.6,32.3,20,49.1,90,47.4,68.2,22.4,15.8
South Dakota,884659,Midwest,Middle,5.7,150.9,8.4,15.5,154,29.6,18.1,53.7,68.9,53.9,75.6,24.7,15.3
Tennessee,6829174,South,Bottom ten,6.9,207.3,22.2,14.5,180.5,34.8,22.1,37.7,87.7,43.9,70.1,22.8,15.1
Texas,28995881,South,Middle,5.8,171.6,9.4,12.8,149.2,33.7,14.3,42.1,90.7,43.5,71.2,26.4,11.5
Utah,3205958,West,Middle,4.9,152.9,23.4,9.2,125.2,25.4,8.8,55.3,83.4,43.4,68.1,30.7,10
Vermont,623989,Northeast,Middle,4.6,152.5,16.7,9.1,165.3,27.1,17,58.8,84.1,47.3,75.6,19.4,16.9
Virginia,8535519,South,Middle,5.6,154.2,12.4,9,159.5,29,15.3,51.9,77.3,50.5,64.4,22.4,13.8
Washington,7614893,West,Top ten,4.5,137.6,14.7,7.9,156.4,28.6,14,56.3,94.5,48.3,77.1,22.7,14.1
West Virginia,1792147,South,Bottom ten,7,191.3,41.5,14.5,190.4,37.7,24.8,47.6,87.8,49.6,64.9,20.5,17.8
Wisconsin,5822434,Midwest,Middle,5.7,156,15.5,9.8,159.3,30.7,17.1,53.4,84.7,43.7,68.8,22.6,15.2
Wyoming,578759,West,Middle,6.4,159.4,16.4,24.7,139.4,27.7,19,54.2,79.2,38.9,73.3,23.7,14
